unique_trial_ID,season,ID,trial,time_at_edge,total_trial_time,percent_time_at_edge,mean_speed,task,mean_speed_at_edge_cm_s,mean_speed_out_edge_cm_s,total_distance_at_edge_cm,total_distance_out_edge_cm
spring_20240520-2_T4,spring,20240520-2,T4,66859.7333333333,393417.033333333,16.994620890419,9.55013621321224,cue,23.043730468180843,6.787441538815426,1540.6976741077792,2216.48858282341
spring_20240520-2_T5,spring,20240520-2,T5,541504.833333333,2785337.6,19.4412639004095,1.587169198427404,cue,2.989287727134732,1.248795514131336,1618.7137524674724,2802.0882934742367
spring_20240520-2_T6,spring,20240520-2,T6,45912.3,385521.5,11.9091412541194,5.938834821305837,cue,18.572685320103954,4.230844771990439,852.7147002222082,1436.8338083398548
spring_20240520-2_T7,spring,20240520-2,T7,45872.8,564249.033333333,8.12988543888216,1.6053340059501746,cue,6.51381664030971,1.1709664024403532,298.80700797759937,607.0011530569144
spring_20240520-2_T8,spring,20240520-2,T8,564620.866666667,2412616.53333333,23.4028432975452,1.771189071885113,cue,2.944425158954919,1.412728503911577,1662.4838850842636,2610.716153405076
spring_20240520-2_T9,spring,20240520-2,T9,26801.0333333333,353817.6,7.57481632720739,5.842928681888375,cue,26.109627174464098,4.181947198923321,699.7649882237183,1367.566014973188
spring_20240520-3_T1,spring,20240520-3,T1,10732.3333333333,56334.7,19.0510171055022,30.803408920502637,cue,66.89488882461565,22.309424482028803,717.9382451620498,1017.3625553517875
spring_20240520-3_T10,spring,20240520-3,T10,10281.2666666667,78445.5,13.1062542359557,17.260065599502955,cue,46.684463316879864,12.821959797607668,479.9754165510597,873.9990594347489
spring_20240520-3_T3,spring,20240520-3,T3,27035.5,49852.8333333333,54.2306187879659,16.539065052127043,cue,13.128246112526684,20.58043106516826,354.9286977752151,469.5905557576324
spring_20240520-3_T4,spring,20240520-3,T4,1709.6,7946.5,21.513874032593,110.0391874496932,cue,211.1237446941885,82.33084531414686,360.9371539291847,513.4892491398025
spring_20240520-3_T8,spring,20240520-3,T8,97909.6333333333,328930.1,29.7660911340535,15.381768037332158,cue,20.52309443211945,13.202803595679756,2009.4086507141903,3050.117847982281
spring_20240520-3_T9,spring,20240520-3,T9,51497.8666666667,313709.7,16.4157712262855,12.461808807299551,cue,28.788628335893087,9.255254913504121,1482.5529435580438,2426.8373588372565
spring_20240520-4_T1,spring,20240520-4,T1,9762,47629.8333333333,20.4955577561682,32.39838133670592,cue,68.00977896951714,23.218070949486215,663.9114623004265,879.2180410366527
spring_20240520-4_T10,spring,20240520-4,T10,8920.33333333333,143423.7,6.21956715196535,5.401997418150095,cue,30.788841638264724,3.7183286867491048,274.6467303605341,500.1277267409999
spring_20240520-4_T2,spring,20240520-4,T2,7450.4,85466,8.71738469098823,10.859022379613508,cue,47.497221860486384,7.360116501657099,353.8733017493676,574.2039049466795
spring_20240520-4_T3,spring,20240520-4,T3,10978.4333333333,69870.9333333333,15.7124469498046,10.981560026822333,cue,28.834349294758848,7.653535969563933,316.5559814425571,450.735867087544
spring_20240520-4_T4,spring,20240520-4,T4,34652.8333333333,388573.533333333,8.91796027281323,3.838214075320497,cue,14.956899115294732,2.749569247323562,518.2989322257891,973.1294727112281
spring_20240520-4_T5,spring,20240520-4,T5,7114.3,53550.9333333333,13.2851092542427,5.9347638694877745,cue,16.860705466352297,4.260860730459463,119.95211689927014,197.86002742474489
spring_20240520-4_T7,spring,20240520-4,T7,21946.8666666667,118326,18.5477973282851,6.75971111167238,cue,15.48533242104786,4.772766003975942,339.8545259337479,459.9950510659978
spring_20240520-4_T8,spring,20240520-4,T8,143874.033333333,1227655.1,11.7194180461054,1.6437570947397382,cue,4.787817262843139,1.2263770247787669,688.8425804682025,1329.1242000502243
spring_20240524-1_T1,spring,20240524-1,T1,2978.13333333333,17459.2,17.0576735092864,28.758418174473572,cue,77.19372161535466,18.797356948269922,229.8931954667416,272.2057791250266
spring_20240524-1_T2,spring,20240524-1,T2,12096.5666666667,77580.1,15.5923576621668,10.516316559007516,cue,26.924407530791186,7.485301642592196,325.6928906567177,490.1639996227409
spring_20240524-1_T3,spring,20240524-1,T3,55808.3666666666,518475.1,10.7639434693521,3.107264520776359,cue,10.167873410761077,2.255590904687132,567.4524075280046,1043.5868756079733
spring_20240524-1_T5,spring,20240524-1,T5,10823.1333333333,80337,13.4721651708843,9.378053718521103,cue,27.937898779762016,6.488332755262665,302.37560354653493,451.02909803829493
spring_20240524-1_T6,spring,20240524-1,T6,67715.8333333333,660555.333333333,10.2513491173588,2.391332660227775,cue,8.669114533114831,1.6742663530612611,587.0363148719816,992.571227615662
spring_20240524-1_T7,spring,20240524-1,T7,6098.1,59377.6,10.2700344911212,4.27610625858985,cue,8.193805753046801,3.8277063432913137,49.96664686265469,203.93828011738952
spring_20240524-1_T8,spring,20240524-1,T8,14664.6333333333,83813.4333333333,17.496757679656,11.325923614129303,cue,26.362075821082296,8.137153037356361,386.5901758217041,562.6743679495476
spring_20240524-1_T9,spring,20240524-1,T9,15765.0666666667,54330.5,29.0169732777476,15.712457284397862,cue,20.598029655145528,13.71529642109468,324.7293107153463,528.9363497746322
spring_20240524-2_T1,spring,20240524-2,T1,12438.1666666667,35017.5,35.51985911806,28.76478810056121,cue,36.72220785081447,24.381323290988664,456.7569416164054,550.5140256949966
spring_20240524-2_T10,spring,20240524-2,T10,3826.23333333333,82103,4.66028443946425,9.412829425965958,cue,79.8749995819904,5.968580057081448,305.62038590059774,467.2011484594845
spring_20240524-2_T2,spring,20240524-2,T2,43658.8666666667,214024.533333333,20.3990009868028,17.57460905379302,cue,33.164628717358426,13.579422681212154,1447.9301032206565,2313.4673980331636
spring_20240524-2_T3,spring,20240524-2,T3,13990.2333333333,125081,11.1849388263072,5.844345732699179,cue,17.987593883270847,4.315083849388747,251.65063553219858,479.36597305954723
spring_20240524-2_T4,spring,20240524-2,T4,47459.3,334432,14.1910164099129,7.105866486244229,cue,19.156630308972957,5.112921458748464,909.1602648226406,1467.2688759049856
spring_20240524-2_T5,spring,20240524-2,T5,12586.3,221251.533333333,5.68868373944226,4.158006812253704,cue,26.068659404724848,2.836396871204809,328.10796786568824,591.857414955888
spring_20240524-2_T6,spring,20240524-2,T6,3489.83333333333,85315.1,4.09052246710528,7.810798963399,cue,65.82245251797177,5.336612070476763,229.70938887896855,436.6697057633133
spring_20240524-2_T7,spring,20240524-2,T7,5396,51421.5333333333,10.4936582987931,11.348548786157869,cue,41.84038756481174,7.773707819992349,225.77073129972408,357.7890483926519
spring_20240524-2_T8,spring,20240524-2,T8,55494.5666666667,265268.5,20.9201494586303,7.530799805511416,cue,14.001718353440518,5.818953080580145,777.0192926128952,1220.6646755954139
spring_20240524-2_T9,spring,20240524-2,T9,34142.8333333333,163125.2,20.9304468796564,9.592249824314797,cue,18.507325069331834,7.232346404094751,631.8925152880186,932.8451557532975
spring_20240524-3_T1,spring,20240524-3,T1,8796.5,23226.3333333333,37.8729602893268,30.72405308954913,cue,33.77442779987718,28.86452910756259,297.0967541416196,416.51034426727693
spring_20240524-3_T10,spring,20240524-3,T10,13414.5666666667,49220.7,27.2539128185228,18.740801070354692,cue,28.826414906964715,14.962282515280473,386.69386453047196,535.7414827131346
spring_20240524-3_T3,spring,20240524-3,T3,42995.6666666667,98536.5333333333,43.6342392127996,18.98272520680853,cue,18.02079207394307,19.727383308464148,774.815969080565,1095.6759660176324
spring_20240524-3_T4,spring,20240524-3,T4,184937.566666667,900252.5,20.5428551063914,2.785139604096583,cue,5.154020074271365,2.1726891022780133,953.1719310868989,1554.1569603500575
spring_20240524-3_T5,spring,20240524-3,T5,147637.3,1013870,14.5617584108416,4.02640591139291,cue,11.003828150961812,2.837201462738522,1624.5754778719931,2457.6766835119383
spring_20240524-3_T7,spring,20240524-3,T7,4625.2,101640.5,4.55054825586257,4.128165285114674,cue,37.90628165472694,2.5177951287297424,175.32413390944305,244.26464975225457
spring_20240524-3_T8,spring,20240524-3,T8,8644.93333333333,25399.8333333333,34.035393933031,26.16297001001144,cue,37.383154011676304,20.373753560965067,323.17487422067416,341.3602035386136
spring_20240524-3_T9,spring,20240524-3,T9,10708.2333333333,75083.4333333333,14.2617790076195,5.731655527752552,cue,12.762278068222576,4.562174941409573,136.66145141940996,293.6909242882296
spring_20240526-1_T1,spring,20240526-1,T1,134626.3,577710.933333333,23.3034017935614,9.838556505677216,cue,17.065327393104468,7.642783165033913,2297.4418852223002,3386.399776325223
spring_20240526-1_T10,spring,20240526-1,T10,23357.0666666667,170613.333333333,13.6900593935605,5.705091305213349,cue,15.702022994133953,4.119427039740773,366.7531978755196,606.6114466779447
spring_20240526-1_T2,spring,20240526-1,T2,546056.466666666,2569077.33333333,21.2549641687184,2.785657332615007,cue,5.030542586841427,2.1797149371641935,2746.9603103868217,4409.608801268185
spring_20240526-1_T3,spring,20240526-1,T3,436526.866666667,2034120.93333333,21.4602219323964,2.447263041718313,cue,4.202824230086563,1.9675732126248835,1834.6456923104336,3143.383290221785
spring_20240526-1_T4,spring,20240526-1,T4,110051.633333333,436139,25.2331557905469,4.233270082912273,cue,6.63643618188392,3.4222225496495775,730.3506413287557,1115.9435393625165
spring_20240526-1_T5,spring,20240526-1,T5,16688.0666666667,98536.5333333333,16.9359181839832,14.096136608884343,cue,35.72783810441563,9.685653537270795,596.2285441423616,792.7558906901903
spring_20240526-1_T6,spring,20240526-1,T6,26527.3333333333,170613.333333333,15.5482181931854,7.257779924940329,cue,19.42012232917396,5.018599775090639,515.1640584001074,723.1099671937097
spring_20240526-1_T8,spring,20240526-1,T8,143730.133333333,766931.2,18.7409422557504,4.197293221063062,cue,8.047611860395591,3.3092863786372293,1156.684325709573,2062.3508010721916
spring_20240526-1_T9,spring,20240526-1,T9,4088.16666666667,69870.9333333333,5.85102627320469,3.4149925446044844,cue,7.372182912796497,3.1690671362240144,30.138712444664215,208.47000397322591
spring_20240526-2_T1,spring,20240526-2,T1,32824.9,155499.5,21.1093283258145,11.53552452685327,cue,18.349050287937526,9.712381824492562,602.3057407965204,1191.4625553668952
spring_20240526-2_T2,spring,20240526-2,T2,243861.9,761964.7,32.0043566322692,8.733355201367138,cue,10.981407234453675,7.675236542121618,2677.9468328676203,3976.5615431355254
spring_20240526-2_T3,spring,20240526-2,T3,63696.0666666667,343602.333333333,18.5377282071232,17.928296742899143,cue,38.01643378919523,13.356997458507681,2421.4973010654985,3738.7072924870404
spring_20240526-2_T4,spring,20240526-2,T4,44580.9333333333,125538,35.5119034342855,21.06357907238836,cue,25.294752508237877,18.73358283324546,1127.6636752529193,1516.6159143365749
